Exercise_ID,Exercise,Exercise_Description,Muscle_Involved,Pain_Level,Functional_Goal,Repetition,Set,Image_Link,Video_Link
E035,Chin Tucks (No Weight),"Sit or stand, gently tuck chin toward the chest to activate neck flexors",Neck,Low,Alleviate Pain,10,3,exercise.jpg,
E036,Scapular Squeeze,"Squeeze shoulder blades together, engaging the muscles that support the neck",Neck,Low,Alleviate Pain,10,3,exercise.jpg,
E037,Shoulder Shrugs (No Weight),"Raise shoulders toward ears and hold, gently releasing to activate upper trapezius",Neck,Low,Alleviate Pain,10,3,exercise.jpg,
E038,Levator Scapula Stretch,"Place hand behind back, tilt head to opposite side to stretch the neck",Neck,Moderate,Alleviate Pain,10,3,exercise.jpg,
E039,Cat-Cow with Neck Movement,Perform cat-cow while gently lifting and lowering head to engage neck flexors and extensors,Neck,Moderate,Alleviate Pain,10,3,exercise.jpg,
E040,Neck Retraction,"Gently pull head back while keeping chin level, to strengthen deep neck stabilizers",Neck,Moderate,Alleviate Pain,10,3,exercise.jpg,
E041,Isometric Neck Holds,"Press hand gently against forehead or side of head, resisting without moving",Neck,Moderate,Alleviate Pain,10,3,exercise.jpg,
E042,Wall Angels,"Stand with back against a wall, slowly raise arms up and down, keeping contact with the wall to engage neck support",Neck,Moderate,Alleviate Pain,10,3,exercise.jpg,
E043,Resistance Band Rows (Low Resistance),"Use a band, gently pull back while keeping neck aligned for controlled activation",Neck,Moderate,Alleviate Pain,10,3,exercise.jpg,
E044,None,,Neck,Severe,Alleviate Pain,10,3,exercise.jpg,
E045,Overhead Arm Stretch,"Raise one arm overhead, bend elbow, and gently pull with the opposite hand to stretch the triceps",Triceps,Low,Alleviate Pain,10,3,exercise.jpg,
E046,Arm Circles,Perform small forward and backward circles with arms extended to engage triceps gently,Triceps,Low,Alleviate Pain,10,3,exercise.jpg,
E047,Cross-Body Arm Stretch,"Bring one arm across the chest, using the other arm to support and stretch triceps",Triceps,Low,Alleviate Pain,10,3,exercise.jpg,
E048,Wall Push-Ups,"Stand at arm’s length from a wall, perform push-ups with slow controlled movement",Triceps,Low,Alleviate Pain,10,3,exercise.jpg,
E049,Isometric Triceps Hold,"Press hands together behind back and hold, engaging triceps without movement",Triceps,Low,Alleviate Pain,10,3,exercise.jpg,
E050,Triceps Squeeze (No Weight),"Extend arm and gently contract triceps, holding tension without adding any weight",Triceps,Low,Alleviate Pain,10,3,exercise.jpg,
E051,Overhead Triceps Stretch with Resistance Band (Low Resistance),Gently stretch triceps overhead with minimal resistance,Triceps,Moderate,Alleviate Pain,10,3,exercise.jpg,
E052,Triceps Extension Stretch,"Hold arm overhead, bending elbow, and gently press down on forearm with the opposite hand",Triceps,Moderate,Alleviate Pain,10,3,exercise.jpg,
E053,Seated Arm Extension,"Sit with arms bent, extend one arm at a time to engage triceps",Triceps,Moderate,Alleviate Pain,10,3,exercise.jpg,
E054,Modified Wall Push-Up,Stand close to a wall and perform push-ups with reduced body weight,Triceps,Moderate,Alleviate Pain,10,3,exercise.jpg,
E055,Resistance Band Triceps Extensions (Low Resistance),Use a light resistance band for controlled triceps extensions,Triceps,Moderate,Alleviate Pain,10,3,exercise.jpg,
E056,Chair Dips (No Weight),"Sit on a chair, place hands on the seat, and gently lower body using triceps without full dip",Triceps,Moderate,Alleviate Pain,10,3,exercise.jpg,
E057,None,,Triceps,Severe,Alleviate Pain,10,3,exercise.jpg,
E058,Quadriceps Activation,Sit on a chair and tighten the quads to straighten one leg slowly,Quadriceps,Low,Alleviate Pain,10,3,exercise.jpg,
E059,Leg Raises,"Lie on back, lift one leg straight up, keeping knee straight to engage quads",Quadriceps,Low,Alleviate Pain,10,3,exercise.jpg,
E060,Bodyweight Squats,Perform squats while keeping knees aligned with toes,Quadriceps,Low,Alleviate Pain,10,3,exercise.jpg,
E061,Step-Ups,"Step onto a raised platform, lifting with quads",Quadriceps,Low,Alleviate Pain,10,3,exercise.jpg,
E062,Wall Sits,"Sit against a wall, sliding down until knees are at a 90-degree angle, holding to engage quads",Quadriceps,Moderate,Alleviate Pain,10,3,exercise.jpg,
E063,Knee Extensions with Resistance Band,"Secure band, extend knee to engage quads",Quadriceps,Moderate,Alleviate Pain,10,3,exercise.jpg,
E064,Lunges (Bodyweight or Light Weight),"Step forward, bending both knees to engage quads",Quadriceps,Moderate,Alleviate Pain,10,3,exercise.jpg,
E065,Split Squats,Place one leg behind on an elevated surface and squat with the front leg,Quadriceps,Moderate,Alleviate Pain,10,3,exercise.jpg,
E066,None,,Quadriceps,Severe,Alleviate Pain,10,3,exercise.jpg,
E067,Heel Slides,"Lie on back, slide one heel towards glutes to gently engage hamstrings",Hamstrings,Low,Alleviate Pain,10,3,exercise.jpg,
E068,Leg Curls (No Weight),Stand on one leg and curl opposite leg toward glutes,Hamstrings,Low,Alleviate Pain,10,3,exercise.jpg,
E069,Glute Bridge,"Lie on back, lift hips, squeezing glutes and hamstrings",Hamstrings,Low,Alleviate Pain,10,3,exercise.jpg,
E070,Bodyweight Deadlifts,"Bend at hips, keeping back straight to activate hamstrings",Hamstrings,Low,Alleviate Pain,10,3,exercise.jpg,
E071,Resistance Band Leg Curls,Attach band to a stable point and curl leg towards glutes,Hamstrings,Moderate,Alleviate Pain,10,3,exercise.jpg,
E072,Seated Hamstring Curls,"Sit, use light weights or resistance to curl legs back",Hamstrings,Moderate,Alleviate Pain,10,3,exercise.jpg,
E073,Single-Leg Deadlift,"Stand on one leg, hinge at hips to stretch and engage hamstrings",Hamstrings,Moderate,Alleviate Pain,10,3,exercise.jpg,
E074,Step-Downs,Step down from a platform to engage hamstrings eccentrically,Hamstrings,Moderate,Alleviate Pain,10,3,exercise.jpg,
E075,None,,Hamstrings,Severe,Alleviate Pain,10,3,exercise.jpg,
E076,Seated Calf Stretch with Towel,"Sit with leg extended, use towel to pull toes towards you, activating calf",Calf,Low,Alleviate Pain,10,3,exercise.jpg,
E077,Heel Drops (on flat),"Stand flat on the ground, raise heels, then slowly lower. Start without stairs to reduce intensity.",Calf,Low,Alleviate Pain,10,3,exercise.jpg,
E078,Calf Raises (Bodyweight),Stand and lift heels off ground slowly,Calf,Low,Alleviate Pain,10,3,exercise.jpg,
E079,Toe Taps,"Raise toes off ground, keeping heels planted",Calf,Low,Alleviate Pain,10,3,exercise.jpg,
E080,Eccentric Calf Raise,"Stand on one leg, lift heel and lower slowly, engaging calf",Calf,Moderate,Alleviate Pain,10,3,exercise.jpg,
E081,Heel Slides (Calf Focus),Sit or lie down. Slowly slide the heel toward the body and back.,Calf,Moderate,Alleviate Pain,10,3,exercise.jpg,
E082,Single-Leg Calf Raise,"Stand on one leg, lift heel slowly",Calf,Moderate,Alleviate Pain,10,3,exercise.jpg,
E083,Step-Up Toe Raises,"Stand on low step, lift and lower heels for calf engagement",Calf,Moderate,Alleviate Pain,10,3,exercise.jpg,
E084,None,,Calf,Severe,Alleviate Pain,10,3,exercise.jpg,
E085,Ankle Circles,"Sit comfortably, extend leg, and slowly rotate ankle in circles (both clockwise and counterclockwise)",Ankle,Low,Alleviate Pain,10,3,exercise.jpg,
E086,Toe Point and Flex,"Extend leg, point toes forward, then flex foot back to engage ankle mobility",Ankle,Low,Alleviate Pain,10,3,exercise.jpg,
E087,Heel-to-Toe Rocks,Stand and gently rock from heels to toes to warm up the ankle,Ankle,Low,Alleviate Pain,10,3,exercise.jpg,
E088,Calf Raises (No Weight),"Stand with feet hip-width apart, rise onto toes slowly, then lower back down",Ankle,Low,Alleviate Pain,10,3,exercise.jpg,
E089,Towel Scrunches,"Place a towel on the floor, use toes to scrunch it up, engaging ankle and foot muscles",Ankle,Low,Alleviate Pain,10,3,exercise.jpg,
E090,Seated Ankle Press,"Sit with feet flat, press the ball of foot gently into the floor, holding tension without movement",Ankle,Low,Alleviate Pain,10,3,exercise.jpg,
E091,Ankle Alphabet,"Sit with leg extended, draw letters of the alphabet in the air using your big toe to improve flexibility",Ankle,Moderate,Alleviate Pain,10,3,exercise.jpg,
E092,Standing Calf Stretch,"Stand facing a wall, place one foot back, press heel down to stretch the calf and ankle",Ankle,Moderate,Alleviate Pain,10,3,exercise.jpg,
E093,Heel Raises (Low Resistance),"Use a chair for support, raise heels off the ground and hold briefly, then lower",Ankle,Moderate,Alleviate Pain,10,3,exercise.jpg,
E094,Resistance Band Ankle Flexion,Use a light resistance band to gently pull foot back and forth to engage ankle muscles,Ankle,Moderate,Alleviate Pain,10,3,exercise.jpg,
E095,Seated Ankle Dorsiflexion (With Band),"Secure band around foot, flex ankle against the resistance for gentle strengthening",Ankle,Moderate,Alleviate Pain,10,3,exercise.jpg,
E096,Toe Taps,"Sit and lift toes up and down repeatedly, engaging the front of the ankle and shin",Ankle,Moderate,Alleviate Pain,10,3,exercise.jpg,
E097,None,,Ankle,Severe,Alleviate Pain,10,3,exercise.jpg,
E098,Supine Figure-4 Stretch,"Lie on back, cross one ankle over the opposite knee, gently pull knee toward chest to stretch glutes",Gluteals,Low,Alleviate Pain,10,3,exercise.jpg,
E099,Seated Forward Fold,"Sit with legs extended, reach toward toes to gently stretch the glutes",Gluteals,Low,Alleviate Pain,10,3,exercise.jpg,
E100,Cat-Cow Stretch with Glute Engagement,"Perform the cat-cow stretch on hands and knees, squeezing glutes gently during the “cow” (arched) position",Gluteals,Low,Alleviate Pain,10,3,exercise.jpg,
E101,Standing Glute Squeeze,"Stand upright, gently contract the gluteal muscles and hold for a few seconds before releasing",Gluteals,Low,Alleviate Pain,10,3,exercise.jpg,
E102,Side-Lying Clamshell (No Resistance),"Lie on side with knees bent, open top knee slowly to activate gluteals",Gluteals,Low,Alleviate Pain,10,3,exercise.jpg,
E103,Bridge Pose (No Weight),"Lie on back with knees bent, lift hips slowly while engaging gluteal muscles",Gluteals,Low,Alleviate Pain,10,3,exercise.jpg,
E104,Child’s Pose with Glute Focus,"Start on hands and knees, sit back onto heels to stretch lower back and glutes",Gluteals,Moderate,Alleviate Pain,10,3,exercise.jpg,
E105,Kneeling Hip Flexor Stretch,"Place one leg forward in a lunge position, gently press hips forward to stretch the glutes and hip flexors",Gluteals,Moderate,Alleviate Pain,10,3,exercise.jpg,
E106,Standing Figure-4 Stretch,"Cross one ankle over opposite knee while standing, lower hips slightly to stretch glutes",Gluteals,Moderate,Alleviate Pain,10,3,exercise.jpg,
E107,Wall Glute Squeeze,"Stand with back against wall, gently press glutes into wall, hold, and release",Gluteals,Moderate,Alleviate Pain,10,3,exercise.jpg,
E108,Isometric Glute Contraction,"Lie on back with knees bent, squeeze glutes gently without lifting hips",Gluteals,Moderate,Alleviate Pain,10,3,exercise.jpg,
E109,Side-Lying Leg Raise,"Lie on side, lift top leg slowly to engage gluteals, keeping movement controlled and low resistance",Gluteals,Moderate,Alleviate Pain,10,3,exercise.jpg,
E110,None,,Gluteals,Severe,Alleviate Pain,10,3,exercise.jpg,
E111,Deep Breathing with Ab Engagement,Focus on deep breaths while lightly engaging abs,Abdominals,Low,Alleviate Pain,10,3,exercise.jpg,
E112,Pelvic Tilts,"Lie on back, gently tilt pelvis to engage lower abs",Abdominals,Low,Alleviate Pain,10,3,exercise.jpg,
E113,Partial Crunches,"Lie on back, lift head and shoulders off the ground",Abdominals,Low,Alleviate Pain,10,3,exercise.jpg,
E114,Leg Lifts (Knees Bent),"Lift legs up, keeping knees bent",Abdominals,Low,Alleviate Pain,10,3,exercise.jpg,
E115,Diaphragmatic Breathing,"Focus on deep breathing, keeping abs relaxed",Abdominals,Moderate,Alleviate Pain,10,3,exercise.jpg,
E116,Heel Slides,"Lie on back, slide heel up and down to engage lower abs",Abdominals,Moderate,Alleviate Pain,10,3,exercise.jpg,
E117,Dead Bug,"Lie on back, lift one leg and opposite arm, alternating sides",Abdominals,Moderate,Alleviate Pain,10,3,exercise.jpg,
E118,Bird Dog,"Kneel, extend one arm and opposite leg while engaging abs",Abdominals,Moderate,Alleviate Pain,10,3,exercise.jpg,
E119,None,,Abdominals,Severe,Alleviate Pain,10,3,exercise.jpg,
E120,Supine Trunk Rotation,"Lie on back with knees bent, gently rotate to each side, engaging obliques",Obliques,Low,Alleviate Pain,10,3,exercise.jpg,
E121,Seated Side Bends,"Sit upright in a chair with feet flat on the floor. Slowly lean to one side, reaching your hand toward the floor while keeping the torso stable.",Obliques,Low,Alleviate Pain,10,3,exercise.jpg,
E122,Seated Oblique Twists (No Weight),"Sit with feet flat, twist torso side to side",Obliques,Low,Alleviate Pain,10,3,exercise.jpg,
E123,Standing Side Stretch,"Stand with feet shoulder-width apart. Reach one arm overhead and lean gently to the opposite side, feeling a stretch along the oblique.",Obliques,Low,Alleviate Pain,10,3,exercise.jpg,
E124,Diaphragmatic Breathing with Side Focus,Focus on breathing deeply while gently contracting side muscles,Obliques,Moderate,Alleviate Pain,10,3,exercise.jpg,
E125,Supine Windshield Wipers (Feet on Floor),"Lie on your back with knees bent and feet flat. Gently lower your knees side to side, keeping the movement within a comfortable range.",Obliques,Moderate,Alleviate Pain,10,3,exercise.jpg,
E126,Side Plank (Knees Bent),"Lie on one side, lift hips to engage obliques",Obliques,Moderate,Alleviate Pain,10,3,exercise.jpg,
E127,Standing Side Crunch,Stand and raise one knee toward side to engage obliques,Obliques,Moderate,Alleviate Pain,10,3,exercise.jpg,
E128,None,,Obliques,Severe,Alleviate Pain,10,3,exercise.jpg,
E129,Cat-Cow Stretch,"Start on hands and knees, alternate arching and rounding the back to mobilize the spine and gently engage lower back",Lower Back,Low,Alleviate Pain,10,3,exercise.jpg,
E130,Knees-to-Chest Stretch,"Lie on back, bring knees toward chest, hugging gently to stretch and relieve lower back tension",Lower Back,Low,Alleviate Pain,10,3,exercise.jpg,
E131,Child’s Pose,"Start on hands and knees, sit back onto heels with arms extended forward, gently stretching the lower back",Lower Back,Low,Alleviate Pain,10,3,exercise.jpg,
E132,Pelvic Tilt (Lying Down),"Lie on back, tilt pelvis up and down, activating lower back muscles without lifting hips",Lower Back,Low,Alleviate Pain,10,3,exercise.jpg,
E133,Bridge Pose (No Weight),"Lie on back with knees bent, lift hips gently while engaging lower back and gluteal muscles",Lower Back,Low,Alleviate Pain,10,3,exercise.jpg,
E134,Standing Back Extensions (No Weight),"Stand and place hands on lower back, gently arch backward to activate lower back",Lower Back,Low,Alleviate Pain,10,3,exercise.jpg,
E135,Seated Forward Fold,"Sit with legs extended, reach toward toes to gently stretch the lower back",Lower Back,Moderate,Alleviate Pain,10,3,exercise.jpg,
E136,Supine Twist,"Lie on back with knees bent, gently let knees fall to one side to stretch the lower back and spine",Lower Back,Moderate,Alleviate Pain,10,3,exercise.jpg,
E137,Figure-4 Stretch with Lower Back Focus,"Lie on back, cross one ankle over opposite knee, and gently pull knee toward chest to stretch lower back and glutes",Lower Back,Moderate,Alleviate Pain,10,3,exercise.jpg,
E138,Bird Dog (No Weight),"Start on hands and knees, extend opposite arm and leg to engage core and lower back",Lower Back,Moderate,Alleviate Pain,10,3,exercise.jpg,
E139,Wall Glute Squeeze,"Stand with back against wall, gently press lower back into the wall while squeezing glutes",Lower Back,Moderate,Alleviate Pain,10,3,exercise.jpg,
E140,Isometric Back Hold,"Lie on back with knees bent, gently engage lower back muscles by pressing into floor without lifting hips",Lower Back,Moderate,Alleviate Pain,10,3,exercise.jpg,
E141,None,,Lower Back,Severe,Alleviate Pain,10,3,exercise.jpg,
E142,Diaphragmatic Breathing (Supine),"Lie on back with one hand on chest and one on belly, focus on expanding the belly with each breath",Diaphragm,Low,Alleviate Pain,10,3,exercise.jpg,
E143,Supine Belly Breathing with Light Object,"Place a light object (e.g., book) on belly, focus on lifting it with each inhale to engage the diaphragm",Diaphragm,Low,Alleviate Pain,10,3,exercise.jpg,
E144,Cat-Cow with Breath Focus,"Perform cat-cow stretch on hands and knees, synchronizing movement with deep inhales and exhales to gently engage diaphragm",Diaphragm,Low,Alleviate Pain,10,3,exercise.jpg,
E145,Seated Diaphragm Activation,"Sit upright, place hands on belly, inhale deeply to expand the diaphragm, and contract on exhale",Diaphragm,Low,Alleviate Pain,10,3,exercise.jpg,
E146,Controlled Exhale Exercise,"Sit and inhale deeply, then exhale slowly while contracting the diaphragm",Diaphragm,Low,Alleviate Pain,10,3,exercise.jpg,
E147,Standing Diaphragm Press,"Stand with hands on belly, press gently with hands as you exhale, activating the diaphragm",Diaphragm,Low,Alleviate Pain,10,3,exercise.jpg,
E148,Seated Diaphragmatic Breathing,"Sit upright, focus on expanding the belly with each inhale and fully contracting with each exhale",Diaphragm,Moderate,Alleviate Pain,10,3,exercise.jpg,
E149,Pursed-Lip Breathing,Inhale through nose and exhale slowly through pursed lips to control breath and engage diaphragm,Diaphragm,Moderate,Alleviate Pain,10,3,exercise.jpg,
E150,Seated Side Stretch with Breathing,"While seated, stretch one arm overhead and lean to the opposite side, focusing on deep breathing",Diaphragm,Moderate,Alleviate Pain,10,3,exercise.jpg,
E151,Side-Lying Diaphragm Stretch,"Lie on one side, place hand on upper rib cage, and practice deep breaths to gently expand the diaphragm",Diaphragm,Moderate,Alleviate Pain,10,3,exercise.jpg,
E152,Diaphragm Expansion Hold,"Sit upright, inhale deeply and hold for a few seconds, then exhale slowly to strengthen the diaphragm",Diaphragm,Moderate,Alleviate Pain,10,3,exercise.jpg,
E153,Rib Cage Contraction,"Sit or stand, inhale deeply to expand ribs, then exhale while gently contracting diaphragm and rib cage",Diaphragm,Moderate,Alleviate Pain,10,3,exercise.jpg,
E154,None,,Diaphragm,Severe,Alleviate Pain,10,3,exercise.jpg,
E155,Cat-Cow Stretch,"Start on hands and knees, alternate arching and rounding the back to gently mobilize the spine",Multifidus,Low,Alleviate Pain,10,3,exercise.jpg,
E156,Bird Dog (No Weight),"Start on hands and knees, extend opposite arm and leg to engage multifidus and core muscles",Multifidus,Low,Alleviate Pain,10,3,exercise.jpg,
E157,Knees-to-Chest Stretch,"Lie on back, bring knees toward chest to stretch lower back and release tension",Multifidus,Low,Alleviate Pain,10,3,exercise.jpg,
E158,Pelvic Tilt (Lying Down),"Lie on back, tilt pelvis up and down, activating multifidus without lifting hips",Multifidus,Low,Alleviate Pain,10,3,exercise.jpg,
E159,Standing Back Extension (No Weight),"Stand with hands on lower back, gently arch backward to activate the multifidus",Multifidus,Low,Alleviate Pain,10,3,exercise.jpg,
E160,Bridge Pose (No Weight),"Lie on back with knees bent, lift hips gently to activate multifidus and glutes",Multifidus,Low,Alleviate Pain,10,3,exercise.jpg,
E161,Seated Forward Fold,"Sit with legs extended, reach toward toes to gently stretch the lower back and multifidus",Multifidus,Moderate,Alleviate Pain,10,3,exercise.jpg,
E162,Supine Twist,"Lie on back with knees bent, let knees drop to one side to stretch and mobilize the lower back and multifidus",Multifidus,Moderate,Alleviate Pain,10,3,exercise.jpg,
E163,Child’s Pose with Side Reach,"From child’s pose, walk hands to each side to gently stretch and mobilize the lower back",Multifidus,Moderate,Alleviate Pain,10,3,exercise.jpg,
E164,Wall Glute Squeeze,"Stand with back against wall, press lower back into wall while gently engaging multifidus",Multifidus,Moderate,Alleviate Pain,10,3,exercise.jpg,
E165,Bird Dog with Hold,"Extend opposite arm and leg, then hold position briefly to strengthen multifidus",Multifidus,Moderate,Alleviate Pain,10,3,exercise.jpg,
E166,Side Plank (Knees Bent),"Lie on side with knees bent, support upper body on forearm, lift hips slightly to engage multifidus",Multifidus,Moderate,Alleviate Pain,10,3,exercise.jpg,
E167,None,,Multifidus,Severe,Alleviate Pain,10,3,exercise.jpg,
E168,Shoulder Blade Squeezes,"Sit or stand, squeeze shoulder blades together gently to engage deltoids",Deltoids,Low,Alleviate Pain,10,3,exercise.jpg,
E169,Arm Circles,Perform small arm circles to increase mobility and activate deltoids,Deltoids,Low,Alleviate Pain,10,3,exercise.jpg,
E170,Front Arm Raises (No Weight),"Stand with arms at sides, raise arms straight in front to shoulder height",Deltoids,Low,Alleviate Pain,10,3,exercise.jpg,
E171,Lateral Arm Raises (No Weight),Raise arms out to the side to shoulder height for gentle deltoid activation,Deltoids,Low,Alleviate Pain,10,3,exercise.jpg,
E172,Wall Slides,"Stand with back against wall, slide arms up and down the wall while keeping shoulders relaxed",Deltoids,Moderate,Alleviate Pain,10,3,exercise.jpg,
E173,External Rotation with Resistance Band (Light),"Attach band to a fixed point, gently rotate forearm outward to engage deltoids",Deltoids,Moderate,Alleviate Pain,10,3,exercise.jpg,
E174,Dumbbell Front Raise (Light Weight),"Hold light weights, lift arms to shoulder height in front",Deltoids,Moderate,Alleviate Pain,10,3,exercise.jpg,
E175,Dumbbell Lateral Raise (Light Weight),"Hold light weights, raise arms to the side to shoulder height with controlled movement",Deltoids,Moderate,Alleviate Pain,10,3,exercise.jpg,
E176,None,,Deltoids,Severe,Alleviate Pain,10,3,exercise.jpg,
E177,Isometric Biceps Hold,"Bend elbows to 90 degrees, press hands against each other or a soft object to engage biceps without movement",Biceps,Low,Alleviate Pain,10,3,exercise.jpg,
E178,Forearm Supination/Pronation,"Hold a light weight or resistance band, rotate forearm to engage biceps gently",Biceps,Low,Alleviate Pain,10,3,exercise.jpg,
E179,Bicep Curls (No Weight or Light Weight),Hold hands at sides and bend elbows to bring hands toward shoulders,Biceps,Low,Alleviate Pain,10,3,exercise.jpg,
E180,Hammer Curls (No Weight or Light Weight),Curl with palms facing inward to target different parts of the biceps,Biceps,Low,Alleviate Pain,10,3,exercise.jpg,
E181,Resistance Band Curls,"Attach band to a fixed point, hold band in hand and curl arm up to engage biceps",Biceps,Moderate,Alleviate Pain,10,3,exercise.jpg,
E182,Slow Supination Curls,"Hold a light weight or band with palm facing down, rotate wrist up as you curl to activate biceps fully",Biceps,Moderate,Alleviate Pain,10,3,exercise.jpg,
E183,Dumbbell Curls (Light Weight),"Hold light weights, curl hands toward shoulders while keeping elbows stable",Biceps,Moderate,Alleviate Pain,10,3,exercise.jpg,
E184,Concentration Curl (Light Weight),"Sit with elbow on thigh, slowly curl weight up to isolate the biceps",Biceps,Moderate,Alleviate Pain,10,3,exercise.jpg,
E185,None,,Biceps,Severe,Alleviate Pain,10,3,exercise.jpg,
E186,Wall Chest Stretch,"Stand facing a wall, place forearm against it, and gently turn away to stretch pectoral muscles",Chest,Low,Alleviate Pain,10,3,exercise.jpg,
E187,Seated Arm Circles,"Sit comfortably, perform slow circles with arms extended to warm up the chest area",Chest,Low,Alleviate Pain,10,3,exercise.jpg,
E188,Open-Book Stretch,"Lie on your side with arms stacked, slowly open the top arm outward and across the body",Chest,Low,Alleviate Pain,10,3,exercise.jpg,
E189,Incline Chest Squeeze (No Weight),"Sit on a chair, clasp hands in front of chest, and squeeze gently without any added resistance",Chest,Low,Alleviate Pain,10,3,exercise.jpg,
E190,Wall Push-ups,"Stand at arm’s length from a wall, perform push-ups with slow controlled movements",Chest,Low,Alleviate Pain,10,3,exercise.jpg,
